,Banana,Cabbage,Carrot,Coriander,Garlic,Ginger,Grapes,Green Capsicum,Green Chilli,Green Peas,Mint,Onion,Palak,Papaya,Pomegranate,Potato,Ragi,Rice,Tomato
06cbec87-9334-4ba7-98dd-3153ec769b66,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,18.0,0.0,0.0,3.0,4.0,0.0,20.0
081e8113-878b-4022-8cdf-0bfc6dda5167,0.0,0.0,3.0,14.0,13.0,13.0,0.0,0.0,14.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
22ad31f1-df1a-4f97-8257-b9b75387027c,18.0,3.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0
2434510b-4b97-4d29-92d1-a8c111c4d0b8,7.0,3.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0
2452f2d6-197b-45dd-ab0a-992a1ab8cccf,0.0,0.0,0.0,11.0,6.0,8.0,0.0,4.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2553a9ec-9e91-4594-92cb-e95a45580b2c,0.0,0.0,0.0,20.0,21.0,22.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2631bbc2-340f-4a9a-a752-4cec04e400d2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,3.0,13.0
2bb1023a-5b81-4303-93bc-cb12a3d235c1,3.0,4.0,0.0,10.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,0.0,0.0,3.0,10.0
2cf4a458-4875-48b9-a84f-9b99b9d0a431,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,6.0,4.0,0.0,0.0,4.0
2d5f4ff2-140c-462a-8b95-5a76ea34ecfc,0.0,3.0,0.0,11.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2e323422-ea44-449d-9be7-c0c560a0f2e1,0.0,0.0,0.0,11.0,10.0,9.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
300ccb51-269e-4dad-bbd7-bc4d6f1214bf,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0
31029486-3cd3-4020-ad98-4aff05d029d1,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,7.0,11.0,0.0,0.0,11.0
331a2b18-7771-4c8f-babb-5457498c239b,0.0,0.0,0.0,21.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
37bb059b-5e8d-42e0-9849-022dce333f74,0.0,0.0,19.0,3.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,3.0,19.0
389a7839-5278-4984-bbc6-7d40b80eec74,11.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,6.0,0.0,10.0,10.0,6.0,0.0,8.0,6.0
3d14145a-752d-4dd5-907f-f375242af193,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0,4.0,0.0,0.0
3e64ba62-388a-44c4-9030-88a74444d90a,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,4.0,0.0,0.0,7.0,0.0,0.0,11.0
3fe7f558-21bf-4ff6-8746-47c0323cafb0,0.0,0.0,7.0,14.0,13.0,12.0,0.0,3.0,0.0,0.0,4.0,12.0,7.0,0.0,0.0,0.0,0.0,4.0,19.0
415c5186-549e-44e9-9132-6d158175f5c1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0
4389ea33-33a4-4982-a079-831f1db05fe0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0
43d36f77-a78c-4e8e-bc41-245cc7f02ef2,0.0,0.0,7.0,3.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,3.0,10.0
4474409e-95f6-4e6c-b07f-8ea510b81e90,0.0,0.0,0.0,17.0,17.0,16.0,0.0,4.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
46ed7332-a6b6-4f08-ae6b-4ce2687249fc,0.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,7.0,0.0,3.0,10.0
47627f78-25a8-49b8-baed-67cc7cb51cc3,14.0,4.0,0.0,8.0,8.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0
4be287a3-4af7-4b0f-93da-1215dbbe7007,10.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
