,06cbec87-9334-4ba7-98dd-3153ec769b66,081e8113-878b-4022-8cdf-0bfc6dda5167,22ad31f1-df1a-4f97-8257-b9b75387027c,2434510b-4b97-4d29-92d1-a8c111c4d0b8,2452f2d6-197b-45dd-ab0a-992a1ab8cccf,2553a9ec-9e91-4594-92cb-e95a45580b2c,2631bbc2-340f-4a9a-a752-4cec04e400d2,2bb1023a-5b81-4303-93bc-cb12a3d235c1,2cf4a458-4875-48b9-a84f-9b99b9d0a431,2d5f4ff2-140c-462a-8b95-5a76ea34ecfc,2e323422-ea44-449d-9be7-c0c560a0f2e1,300ccb51-269e-4dad-bbd7-bc4d6f1214bf,31029486-3cd3-4020-ad98-4aff05d029d1,331a2b18-7771-4c8f-babb-5457498c239b,37bb059b-5e8d-42e0-9849-022dce333f74,389a7839-5278-4984-bbc6-7d40b80eec74,3d14145a-752d-4dd5-907f-f375242af193,3e64ba62-388a-44c4-9030-88a74444d90a,3fe7f558-21bf-4ff6-8746-47c0323cafb0,415c5186-549e-44e9-9132-6d158175f5c1,4389ea33-33a4-4982-a079-831f1db05fe0,43d36f77-a78c-4e8e-bc41-245cc7f02ef2,4474409e-95f6-4e6c-b07f-8ea510b81e90,46ed7332-a6b6-4f08-ae6b-4ce2687249fc,47627f78-25a8-49b8-baed-67cc7cb51cc3,4be287a3-4af7-4b0f-93da-1215dbbe7007,4cd53847-8857-4983-ab6f-bbf44a1f863e,4ce2d3cb-b864-40e5-96a5-3e0877928c39,4fb3055e-a3e6-409f-b75b-aa457c4a89bd,5146f581-8c3c-4ddb-a6bf-90392f31cff7,56422f53-2ae2-4b6f-b750-b63ee1e07845,5f4c1d64-d133-4c66-89bc-b35ad29e17b8,60bce0c4-e075-416e-b530-453c6922b587,62e301a3-cc55-44ee-8d66-0cdb6a5d0c0d,6a46c140-d217-4b21-a864-dcc86a03328e,6b34b498-54a0-4051-903e-b9197aa9de94,6cc675f4-9587-41d6-91e3-899f396beab1,6d807f3a-a6f7-4bd1-9559-7d534e353dc6,6e8429bb-4b3a-4f9f-90fd-1714a5be004d,7035b887-e0d1-4c02-af63-02688ffbb884,70891974-6c4a-456b-a56c-3684d6d94556,72ecbbbb-d28d-4a25-96a1-984662445dc9,73f3bb61-7aac-49e3-af05-f2dd383f2102,74293659-a2ab-4c3c-8f72-343b020d30cd,79543249-aeb7-447d-9725-94352e05d41c,7d95baf6-9014-479f-825c-8329b36563da,7da7a7d5-e468-4f10-a91c-c07fd503dc72,7f86a08d-6dd5-4fe9-9472-d02c920c1ff3,83cf8df8-0344-41ec-a14f-761cb61a2216,83ef1d8a-fe41-4801-b538-6bb6b990fabd,8408401e-694d-4008-bd1a-d0d90d78d6f5,8a27105f-d9e0-49ad-84fc-41ff5c010769,8b9f7985-5ef6-485d-959c-fd171563bb8a,8db95983-f362-4452-a960-11964662f0bf,8e5d4ae9-8fb2-45af-aae1-40e41e752b6e,919278a5-6e46-4b47-9a6b-d4022e747c9f,94141fff-971c-4f52-8395-528bde27315a,95381c19-145e-4e11-ab3f-3555b2a07941,96ff7a29-0702-4bf2-a51e-c30b5063cf7e,980bcd07-414b-453e-9d08-9192eb3691d7,98306353-57df-4dac-89d8-6435f4d3fb6a,9a5217aa-9f63-4c33-a507-b5fcd2e8ffdf,9f45ad9e-b71e-4c60-9339-d23440eeb9ec,9f9b965f-1f61-4e93-9afb-80390aafca75,a2b79504-3575-4d94-9af6-c8b119b11e3c,a48897e5-afe2-4878-9f39-28e08c18ddcb,ad765317-0ae5-4394-9861-e51d92a1fcc6,ade771d7-33ad-4f40-b456-f0a9fee988ff,b09d5ed6-293f-4eb8-8466-17829480dcad,b1ba019f-b1ec-4fca-ba4f-a5214a80c769,bcfcf609-ddfe-447a-98fc-c66e9233f0b4,c10ab049-f2a7-46b2-b4fb-24d4a0618ba0,c115ff2f-0c98-4983-bf03-167384d2903e,c3df3a50-2251-45a6-883f-032b8033f52e,c5863af9-c9cd-463d-94a8-8e69adf4f214,c6c9aed7-1f10-439d-88ec-8f5b1b4f748f,cb2e8316-e933-46d4-bc5c-faec0025b694,d3decbad-0acb-4217-99cd-e65ee1a9a9d3,d42e4be4-b29c-47fe-a1b3-8255948344ac,d4948ab5-15b7-42a9-a4d8-4c92da1b486c,d6a9e0ef-4132-46ef-a0f7-d7997a803afe,db1b9299-96df-4fd8-932c-3ad6613bc967,db2f9e6e-c99d-4f6e-8640-8a7f9ee121bc,dd14762c-0ed4-4d5f-aaf3-fded6c619888,de21c2a0-a0e1-4757-a095-0016eb816242,e47d2dca-4d7f-4788-8ee9-e5c35611e94b,ef4899c4-bfed-4167-8c46-2982a90da36a,f0727e5c-5d1e-4ea7-aa00-d6053f839ba3,f308caa4-09a7-467f-8beb-1b6ccce38d25,f3fa5f28-5d69-41fc-a0e8-369ed44442f3,f4dee32c-e6d8-4c67-95a9-f63a4e41f5e8,f527b464-7bb9-45da-bb4d-5aab19eb4f9a,f685a52e-f09f-45e3-b296-668bbb414f9f,f6fcd7a9-a8f0-457c-b9f3-018c8b01391b,f8eb34db-1687-4a4b-802f-8c5bdb2bce45,f93c5b61-46df-44b0-a718-571307f2d308,fae7e454-f146-44cd-a680-3dfc2879df45,fc58c463-84fd-4548-9e91-513ebe48d753,fc895620-c446-471c-972e-18f4ce979e28,fc932934-07d4-4feb-bf60-af1355a4a785
06cbec87-9334-4ba7-98dd-3153ec769b66,0.9999999,0.16379297,0.59816134,0.13684443,0.33994812,0.0,0.44902176,0.2683947,0.2253392,0.32326782,0.13623795,0.97747636,0.36264175,0.3030044,0.95262617,0.35020652,0.015928363,0.80288404,0.60403967,0.48077816,0.3612554,0.57205534,0.14192137,0.43397996,0.0,0.6384913,0.43786198,0.5832434,0.8624316,0.57640743,0.92633045,0.9560144,0.3192241,0.28748754,0.14597541,0.23594335,0.45524257,0.9438349,0.03192647,0.90682584,0.3864802,0.46083283,0.90919936,0.42110378,0.7440276,0.9270297,0.4367584,0.7144702,0.62095284,0.70701593,0.31069064,0.10661982,0.382839,0.72146773,0.3725609,0.5211127,0.25699595,0.3697421,0.030068614,0.5979643,0.8714825,0.10053726,0.30362993,0.55765057,0.97744596,0.024889871,0.12629235,0.6236106,0.9800544,0.44316292,0.6143342,0.59842527,0.56601363,0.29281527,0.5799346,0.35914263,0.64154816,0.5435311,0.48838425,0.61418104,0.5955198,0.6443248,0.27521232,0.53610307,0.5145565,0.5980952,0.4083833,0.4075028,0.3496415,0.5682061,0.76119876,0.35121906,0.3044423,0.5498134,0.2928577,0.0,0.017990377,0.7259589,0.3079026,0.67741704
081e8113-878b-4022-8cdf-0bfc6dda5167,0.16379297,0.99999994,0.058169767,0.36631793,0.7332685,0.94443923,0.3355713,0.6894107,0.09900943,0.6136143,0.96205264,0.14823103,0.16728766,0.75485283,0.34265906,0.15842085,0.0,0.26061153,0.6856849,0.35473466,0.604426,0.5110134,0.9340483,0.44419467,0.49016386,0.062091757,0.19557226,0.44733408,0.12912878,0.27019858,0.41062754,0.14534765,0.7181519,0.039568234,0.9621976,0.9241707,0.1930346,0.2145923,0.0,0.11699663,0.5208846,0.89023685,0.4819708,0.37679568,0.25127822,0.22065139,0.61996037,0.1506506,0.26183072,0.26071617,0.7677099,0.24324708,0.75096595,0.17668822,0.66271627,0.053268407,0.11125739,0.7656387,0.47011888,0.2706669,0.3737814,0.31631225,0.95307523,0.26253492,0.14654204,0.93502593,0.95773387,0.49526462,0.18023792,0.20330179,0.216088,0.20874617,0.26591665,0.8750803,0.60918134,0.5679617,0.06029388,0.8787852,0.597342,0.059727643,0.51385534,0.062885664,0.12469921,0.2466837,0.53653353,0.39559615,0.54455894,0.18294133,0.047438413,0.26311043,0.5749513,0.69302046,0.7294911,0.24539977,0.54939073,0.0,0.9476087,0.08104422,0.7299505,0.26446673
22ad31f1-df1a-4f97-8257-b9b75387027c,0.59816134,0.058169767,0.99999994,0.33433968,0.0,0.0,0.014086611,0.12681827,0.27633235,0.014506736,0.0,0.61847305,0.19194564,0.0,0.5882606,0.46415755,0.3288033,0.3958728,0.23658758,0.0,0.011688499,0.20672105,0.018541967,0.033678528,0.30626467,0.9787054,0.039867904,0.21562292,0.6810262,0.2138107,0.6092955,0.59661597,0.02427118,0.529673,0.0,0.13651027,0.14238492,0.54214215,0.32952318,0.8120799,0.12337065,0.27724013,0.56938237,0.0,0.9272875,0.54854614,0.1826604,0.85808593,0.27817056,0.3374199,0.03217461,0.3708061,0.0,0.80789506,0.0,0.85228586,0.40982646,0.63180935,0.31034762,0.2573402,0.53288525,0.33586642,0.17567185,0.2420616,0.62274873,0.009174865,0.0,0.5653666,0.5594717,0.0,0.31161743,0.26384938,0.23332126,0.4016264,0.5363519,0.02580905,0.986929,0.32395726,0.11441612,0.97720724,0.85491556,0.97275525,0.40679526,0.35573906,0.84527844,0.9145376,0.011217707,0.16447909,0.49713442,0.16496861,0.3805952,0.0,0.006860797,0.12454974,0.15500908,0.37465256,0.0,0.9746071,0.021681989,0.40407696
2434510b-4b97-4d29-92d1-a8c111c4d0b8,0.13684443,0.36631793,0.33433968,0.9999999,0.4446143,0.33685696,0.2764954,0.7078718,0.8085655,0.32270724,0.4169341,0.11922761,0.65932214,0.4802842,0.18791804,0.690114,0.80000615,0.17691277,0.43879962,0.28155518,0.30589956,0.32527632,0.4165162,0.39663014,0.89488447,0.30369172,0.24594013,0.26603016,0.46428573,0.17836092,0.20361906,0.123993754,0.46449053,0.7991904,0.38756704,0.3373244,0.48304588,0.1551856,0.7923252,0.1870475,0.5829655,0.33585715,0.23399697,0.2708289,0.31609622,0.18180667,0.35853028,0.392186,0.26480997,0.23229782,0.5075638,0.92869705,0.42500424,0.31885174,0.35512632,0.25659823,0.7564945,0.49557802,0.8871466,0.17219779,0.2268347,0.970831,0.3571277,0.16717337,0.11786908,0.35016808,0.3652497,0.37938982,0.16178025,0.22065757,0.31247348,0.31663734,0.22311291,0.42043838,0.5116436,0.33772415,0.27750808,0.33212912,0.320568,0.31137758,0.34718254,0.2885003,0.85353434,0.46297225,0.43304414,0.38937318,0.30825737,0.5995666,0.7906015,0.20035395,0.38537848,0.4708236,0.4907804,0.21609333,0.6042853,0.83119893,0.31722015,0.28470477,0.52285457,0.21491319
2452f2d6-197b-45dd-ab0a-992a1ab8cccf,0.33994812,0.7332685,0.0,0.4446143,1.0000001,0.6596736,0.7056011,0.8695834,0.26199573,0.829533,0.8194138,0.29618454,0.46796697,0.9434564,0.4427764,0.26611966,0.0,0.43948573,0.9078677,0.71732104,0.8220887,0.70202625,0.8342498,0.78127825,0.33631408,0.0,0.555421,0.62029773,0.293817,0.4430832,0.46799397,0.33789364,0.9225699,0.07906239,0.7534893,0.6548234,0.5399909,0.38551116,0.0,0.21488339,0.723087,0.66823566,0.49926603,0.6972568,0.22970125,0.4064788,0.7913573,0.27188826,0.4679476,0.5056364,0.9508155,0.34287825,0.9605706,0.26787034,0.89349854,0.09031025,0.19016978,0.47231007,0.3111695,0.4277728,0.54927164,0.36887068,0.6883251,0.41529116,0.2928097,0.6181836,0.7850437,0.6474182,0.4018936,0.54815626,0.54502296,0.5399465,0.43757036,0.55338085,0.7803019,0.8337288,0.0,0.6865995,0.8049425,0.0,0.28422272,0.0,0.20519468,0.4550745,0.31813446,0.23026896,0.8179829,0.53467065,0.10616258,0.49771816,0.79333276,0.9449976,0.9590001,0.5545639,0.74437785,0.0,0.6036024,0.043598343,0.93365026,0.4004146
2553a9ec-9e91-4594-92cb-e95a45580b2c,0.0,0.94443923,0.0,0.33685696,0.6596736,1.0,0.12915331,0.6270198,0.0,0.497917,0.9421954,0.0,0.0,0.6856965,0.21681939,0.020582302,0.0,0.0,0.5924881,0.14437337,0.4469837,0.2795394,0.93428624,0.2784317,0.505635,0.0,0.0,0.18124554,0.025665296,0.0,0.3121013,0.027721686,0.6440552,0.0,0.93444353,0.91978586,0.0,0.0,0.0,0.030682284,0.3770419,0.8432199,0.36015677,0.16867527,0.14288823,0.0,0.45777434,0.0,0.0,0.024862776,0.67907315,0.23621035,0.6271372,0.04277203,0.51220477,0.08381761,0.03443863,0.7531687,0.48031783,0.0,0.24753343,0.2969797,0.9303274,0.0,0.0,0.9591105,0.9180292,0.4081084,0.0,0.0,0.0,0.0,0.0,0.870223,0.58405375,0.42092955,0.0,0.811911,0.4314542,0.0,0.45914042,0.0,0.0,0.028634442,0.5005409,0.34146863,0.35997397,0.0,0.0,0.0,0.44843602,0.5928124,0.6666676,0.016470235,0.41603592,0.0,0.9664192,0.0,0.65681344,0.0
2631bbc2-340f-4a9a-a752-4cec04e400d2,0.44902176,0.3355713,0.014086611,0.2764954,0.7056011,0.12915331,1.0,0.5763521,0.44928938,0.72501373,0.3509435,0.35554323,0.7778115,0.60235953,0.39370418,0.45051062,0.0,0.6922779,0.6350788,0.9849304,0.7859032,0.8099931,0.38542324,0.9224616,0.065813825,0.0,0.9500952,0.8404716,0.3195058,0.74728215,0.3370066,0.3868218,0.6420256,0.094907366,0.37300834,0.18768388,0.9046463,0.56447995,0.0,0.21826403,0.69125926,0.27501023,0.36291575,0.98364764,0.2070013,0.58942235,0.743289,0.48956653,0.7514776,0.73297304,0.6663842,0.21542633,0.7456343,0.3832589,0.78937817,0.0,0.29680932,0.09790625,0.069866985,0.7110044,0.52033335,0.20990765,0.23728867,0.7346612,0.35149202,0.13219139,0.37640977,0.5417479,0.5347297,0.9395665,0.90588677,0.9048356,0.74547124,0.122061744,0.45352268,0.8424877,0.01668685,0.32623535,0.7652595,0.0,0.0696848,0.0,0.34105563,0.69465667,0.064627886,0.047686644,0.90535057,0.85694164,0.12743874,0.84536624,0.6324108,0.7236111,0.6301708,0.89975953,0.6746638,0.018402245,0.13934058,0.052335933,0.60805255,0.6725749
2bb1023a-5b81-4303-93bc-cb12a3d235c1,0.2683947,0.6894107,0.12681827,0.7078718,0.8695834,0.6270198,0.5763521,0.99999994,0.38795465,0.61007977,0.7845273,0.23083177,0.5702748,0.9185795,0.37109697,0.38498747,0.19913909,0.3546024,0.85601854,0.5672526,0.62481296,0.6563729,0.8067917,0.7636335,0.5303453,0.11896041,0.5042912,0.5187292,0.29633564,0.36258328,0.38623446,0.25446287,0.9188811,0.2526312,0.7291473,0.63501626,0.52304715,0.3090328,0.19722712,0.17004606,0.6146834,0.62472373,0.4401849,0.5488101,0.2250511,0.35316184,0.6103158,0.32314205,0.45190528,0.43060446,0.94418186,0.5091002,0.82836246,0.2790268,0.7049764,0.06387293,0.31611902,0.57292664,0.5138666,0.35005444,0.40256837,0.6286455,0.663406,0.36965108,0.22820158,0.6322334,0.692863,0.46688014,0.31891108,0.44856653,0.46917143,0.47847417,0.40581495,0.60159224,0.73742616,0.65957534,0.10015171,0.6232365,0.6143272,0.10368944,0.3192789,0.08835305,0.42378458,0.42098677,0.38788587,0.31240043,0.6319735,0.58039826,0.26889825,0.40670434,0.76275986,0.9069848,0.93164,0.43992195,0.64059937,0.24980056,0.5860627,0.13364844,0.9546013,0.34029788
2cf4a458-4875-48b9-a84f-9b99b9d0a431,0.2253392,0.09900943,0.27633235,0.8085655,0.26199573,0.0,0.44928938,0.38795465,1.0,0.24914032,0.09690796,0.17883518,0.7930855,0.23018739,0.17851593,0.8346543,0.86720335,0.35121167,0.24792296,0.45861098,0.2724323,0.36969554,0.10463089,0.41727346,0.7326184,0.2383544,0.4527377,0.37312025,0.539522,0.3757252,0.15077594,0.18598415,0.23670329,0.8672329,0.12953556,0.032295894,0.7336004,0.28264964,0.84889024,0.21956986,0.58518726,0.07652175,0.15715666,0.45362264,0.29537398,0.28406304,0.30186522,0.4856553,0.37160826,0.35584807,0.23944716,0.874536,0.2740174,0.36347833,0.28321585,0.2474254,0.88953465,0.17605448,0.717911,0.35514557,0.21265012,0.81542045,0.05541443,0.3530315,0.17679746,0.0,0.093108445,0.34944144,0.2647221,0.4757763,0.54223895,0.5282695,0.3764899,0.088683136,0.31739745,0.30869022,0.23641248,0.10219002,0.27301663,0.25220707,0.19528338,0.24783936,0.8930825,0.6574356,0.24651352,0.22272693,0.3529699,0.7667266,0.86535794,0.42801398,0.25678656,0.29572576,0.23902269,0.44936025,0.57045925,0.85233915,0.0,0.23692074,0.23254058,0.39143538
2d5f4ff2-140c-462a-8b95-5a76ea34ecfc,0.32326782,0.6136143,0.014506736,0.32270724,0.829533,0.497917,0.72501373,0.61007977,0.24914032,1.0,0.6373517,0.2816516,0.44500512,0.64550006,0.3921286,0.25517076,0.0,0.41792136,0.66378117,0.7357871,0.9629005,0.55372393,0.6347826,0.6324481,0.2581969,0.0,0.544013,0.6696596,0.28202987,0.42134234,0.40185618,0.32415447,0.63866556,0.07518301,0.57918507,0.4967672,0.5134951,0.3665952,0.0,0.20748334,0.8453523,0.56341153,0.4306667,0.73361397,0.2782114,0.39941844,0.963613,0.27793851,0.46820343,0.48337364,0.75256383,0.26807028,0.8809699,0.25910908,0.95707256,0.09446687,0.18436721,0.36633533,0.26724553,0.40678316,0.6489763,0.2417363,0.54545903,0.39491397,0.27844235,0.47646874,0.7433939,0.77300125,0.38217378,0.5212598,0.5182802,0.5305679,0.4161,0.43918163,0.54314935,0.9573676,0.0229127,0.6035301,0.96135837,0.035307255,0.24946225,0.022304447,0.2243953,0.43567914,0.2329438,0.20111251,0.92845106,0.50843585,0.100953475,0.47329652,0.5798422,0.67011696,0.66911286,0.52904046,0.862492,0.0,0.49984553,0.05389682,0.65347534,0.38076735
