farmer_id,user_id,farm_size_acres,primary_crops,kyc_verified
2873a54d-41a4-4501-8402-073f25c21424,b0c8c6d2-b5b9-4390-bee5-50c84875728f,24.19,"Palak, Ragi, Pomegranate",True
ce8bfc63-78c0-41ae-850c-53bc26241c7d,06b2bfe7-297e-4465-8971-0f7a01b8c2b8,9.07,"Green Chilli, Onion, Palak",True
5274ea89-1cb4-4f04-9c42-24e313345a85,a37e1fa0-e1f2-4894-bde6-498c3e74e624,15.84,"Garlic, Mint, Tomato",True
6de37666-ae67-4f65-a99b-4187f816731f,6eaffc12-b816-45de-8c23-53b70bc504d7,6.48,"Palak, Mint, Rice",True
37e82a5b-5303-4240-85cb-904ec24eba1b,31e8a823-9f9d-4f0b-8ef0-1a1def6ebf2a,13.64,"Green Capsicum, Onion, Green Chilli",True
bcc3976a-8a05-48bb-a862-805e86572d9d,f40b156c-faf1-4086-880a-ac5442f53416,17.73,"Pomegranate, Papaya, Tomato",True
49a8469f-212b-471b-8192-e4ace6e3cac9,280c741f-8071-4824-8dc1-fb296bac2220,17.76,"Coriander, Ginger, Pomegranate",True
21ea0d7a-0e9d-4f9b-8d41-71b86c803b84,11d257ed-3c00-4188-9366-1077198a55dc,24.92,"Ragi, Mint, Ginger",True
475ea49c-d449-4060-8c2b-612057a1228e,254283c9-e3f9-4eba-acfb-4194205ca575,6.92,"Green Capsicum, Mint, Carrot",True
247c30b9-5365-4f6d-93c8-b4bfdefa1c02,55b38320-7a93-4544-a83f-fcd5733cc57e,18.86,"Palak, Grapes, Coriander",True
535d7f82-b061-47ce-b642-ec1a13f155b8,908ad311-c275-40f6-8437-55f8a2853147,9.98,"Coriander, Tomato, Cabbage",True
0337727d-6dc8-4ac9-ac4b-c9e3b13447b8,ef9ac141-549f-413a-8676-22702ec1ce11,8.37,"Cabbage, Pomegranate, Carrot",True
be14bc31-9c77-413a-8a70-ca2135c23384,d452a14f-2ef3-4c26-8ab6-9a8ecd1a28a3,12.75,"Mint, Green Peas, Potato",True
69b3a421-e4b2-4c2f-9c3a-216468238f6e,8615918e-0367-4f8d-b23b-5d33b313d851,10.92,"Onion, Potato, Cabbage",True
4aad497d-22db-4506-95a5-ec55b1cd5e02,adc8cc83-49af-446e-ac88-74f36ebd5673,24.86,"Carrot, Ragi, Banana",True
93e9fd5d-a0bc-427e-afde-9d995a5f19d4,7bc1166d-a3ac-4d86-b859-09ffea7e145a,12.09,"Papaya, Coriander, Banana",True
60f93b9f-6840-4ea1-b553-8b6d86e4a65a,f0567104-3984-4f39-b1e2-e98e4f20526f,15.83,"Carrot, Green Capsicum, Ragi",True
c6d43312-4415-4d6a-a8ae-e6a145cdc01f,fa4ecde6-8f23-48a0-97cf-c78a9da48b51,5.58,"Onion, Green Peas, Tomato",True
af5ba54d-7b4b-433c-96da-ba2adcba27e3,ea8f3676-1ce0-4db9-9f99-a4faf09a7f82,8.34,"Green Chilli, Coriander, Ragi",True
87e7baf3-1143-4a5a-8d2f-0ffe01378f7b,28f543b4-2918-4d77-bca8-7fee833a8157,20.01,"Rice, Green Capsicum, Banana",True
a12e6ff4-f66e-4429-9bdc-f164dd3073b6,acab5e5a-cfef-4c13-89b1-0fa1c4ad89ca,5.0,"Palak, Cabbage, Onion",True
ca8d2b80-7748-435d-94b3-3edca250909e,b3084ea0-8618-4bd8-86f6-8ebe482d44cd,19.1,"Rice, Coriander, Papaya",True
c3a34d28-bd0b-410e-8dd4-0c7f3462f3b3,c6516e97-1794-4415-8b3f-2dc3fe0c93cd,23.65,"Grapes, Ragi, Pomegranate",True
666dc0b8-40a6-4ccb-b64f-53f92c033f9e,a22e6049-6f99-43f8-93f5-4d4e5e1ce7a8,22.4,"Mint, Palak, Tomato",True
a08a856c-d03b-4830-a6e1-4773918dde6c,592c2557-856b-46b5-988a-648acb62be18,23.84,"Palak, Potato, Green Peas",True
05fa3e5d-8992-48b4-ab7c-cf87e0562aa0,4c2f58be-a9b8-4746-aed0-60a86540795c,5.76,"Rice, Banana, Pomegranate",True
0f6a779f-384d-42bb-8630-e1528d8df762,ecbda645-51db-4dcb-9b56-f473f81cbefc,9.33,"Carrot, Green Peas, Mint",True
77c51465-77ab-4e04-8b05-8751311a72dc,b7a99d39-8f91-427b-a3ff-801cacfaf90e,23.71,"Ragi, Potato, Papaya",True
96ce04d7-20c2-4c9e-937b-ca556670f11e,2daa9085-acae-4ab6-baca-dd0433dd998b,4.22,"Garlic, Grapes, Tomato",True
59be3b29-2cc8-43f6-8627-e2e3e52fc0c5,8dd8eee8-92a8-40d5-808e-c22377a7a8e1,5.91,"Ginger, Pomegranate, Papaya",True
1b4dea5a-256f-4f00-a847-cd5d3e25e897,3bb8cb03-9947-4bfa-bb4e-0efbad40b9ee,4.58,"Coriander, Papaya, Pomegranate",True
cc866dd9-5c28-4a0c-a6a2-6905294cc13a,bbc80609-7b21-4e43-9c2b-b645e36980fc,18.18,"Coriander, Ragi, Tomato",True
3ebf4438-5a90-48b3-b103-4b5c79ef74b3,b5b2acc4-c5f6-41f8-8aaa-1ec5b30860df,24.82,"Carrot, Papaya, Rice",True
