state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,modal_price_per_kg
Karnataka,Mandya,Mandya APMC Main Yard,Tomato,Hybrid / Nati,Grade A,2026-09-01,1600.0,2840.0,2220.0,22.2
Karnataka,Mandya,Mandya APMC Main Yard,Potato,Hassan / Local,Grade A,2026-09-01,1300.0,2240.0,1770.0,17.7
Karnataka,Mandya,Mandya APMC Main Yard,Onion,Bellary / Red,Grade A,2026-09-01,1960.0,3380.0,2670.0,26.7
Karnataka,Mandya,Mandya APMC Main Yard,Carrot,Ooty / Orange,Grade A+,2026-09-01,2550.0,4370.0,3460.0,34.6
Karnataka,Mandya,Mandya APMC Main Yard,Green Peas,Tender Sweet,Grade A+,2026-09-01,4310.0,7190.0,5750.0,57.5
Karnataka,Mandya,Mandya APMC Main Yard,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3360.0,5760.0,4600.0,46.0
Karnataka,Mandya,Mandya APMC Main Yard,Green Chilli,G4 Pungent,Grade A,2026-09-01,2050.0,3920.0,2990.0,29.9
Karnataka,Mandya,Mandya APMC Main Yard,Palak,Tender Leafy,Grade A+,2026-09-01,1210.0,2210.0,1710.0,17.1
Karnataka,Mandya,Mandya APMC Main Yard,Coriander,Local Nati,Grade A+,2026-09-01,960.0,1730.0,1350.0,13.5
Karnataka,Mandya,Mandya APMC Main Yard,Mint,Fresh Pudina,Grade A+,2026-09-01,980.0,1770.0,1330.0,13.3
Karnataka,Mandya,Mandya APMC Main Yard,Garlic,Country Dried,Grade A,2026-09-01,6890.0,12310.0,9650.0,96.5
Karnataka,Mandya,Mandya APMC Main Yard,Banana,Elakki / Nendran,Grade A+,2026-09-01,2340.0,4120.0,3190.0,31.9
Karnataka,Mandya,Mandya APMC Main Yard,Papaya,Red Lady Organic,Grade A,2026-09-01,1800.0,3190.0,2500.0,25.0
Karnataka,Mandya,Mandya APMC Main Yard,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7170.0,12900.0,10030.0,100.3
Karnataka,Mandya,Mandya APMC Main Yard,Grapes,Bangalore Blue,Grade A+,2026-09-01,4700.0,7980.0,6390.0,63.9
Karnataka,Mandya,Mandya APMC Main Yard,Ragi,Organic Whole Grain,Grade A,2026-09-01,3270.0,4910.0,4090.0,40.9
Karnataka,Mandya,Mandya APMC Main Yard,Rice,Sona Masuri Heritage,Grade A,2026-09-01,3860.0,5970.0,4780.0,47.8
Karnataka,Mandya,Maddur APMC Sub-Market,Tomato,Hybrid / Nati,Grade A,2026-09-01,1680.0,2990.0,2340.0,23.4
Karnataka,Mandya,Maddur APMC Sub-Market,Potato,Hassan / Local,Grade A,2026-09-01,1360.0,2330.0,1840.0,18.4
Karnataka,Mandya,Maddur APMC Sub-Market,Onion,Bellary / Red,Grade A,2026-09-01,1950.0,3360.0,2660.0,26.6
Karnataka,Mandya,Maddur APMC Sub-Market,Carrot,Ooty / Orange,Grade A+,2026-09-01,2560.0,4390.0,3470.0,34.7
Karnataka,Mandya,Maddur APMC Sub-Market,Cabbage,Green Round,Grade A,2026-09-01,1020.0,2050.0,1490.0,14.9
Karnataka,Mandya,Maddur APMC Sub-Market,Green Peas,Tender Sweet,Grade A+,2026-09-01,4030.0,6710.0,5370.0,53.7
Karnataka,Mandya,Maddur APMC Sub-Market,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3120.0,5350.0,4280.0,42.8
Karnataka,Mandya,Maddur APMC Sub-Market,Green Chilli,G4 Pungent,Grade A,2026-09-01,2180.0,4160.0,3170.0,31.7
Karnataka,Mandya,Maddur APMC Sub-Market,Palak,Tender Leafy,Grade A+,2026-09-01,1190.0,2180.0,1680.0,16.8
Karnataka,Mandya,Maddur APMC Sub-Market,Coriander,Local Nati,Grade A+,2026-09-01,920.0,1660.0,1290.0,12.9
Karnataka,Mandya,Maddur APMC Sub-Market,Mint,Fresh Pudina,Grade A+,2026-09-01,990.0,1810.0,1350.0,13.5
Karnataka,Mandya,Maddur APMC Sub-Market,Ginger,Washed Root,Grade A,2026-09-01,4860.0,8390.0,6620.0,66.2
Karnataka,Mandya,Maddur APMC Sub-Market,Garlic,Country Dried,Grade A,2026-09-01,7060.0,12610.0,9890.0,98.9
Karnataka,Mandya,Maddur APMC Sub-Market,Banana,Elakki / Nendran,Grade A+,2026-09-01,2370.0,4160.0,3220.0,32.2
